City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Hemisphere
Mayo,38.89,-76.51,77.0,94,90,5.82,US,1601231325,Southern Hemisphere
Tazovsky,67.47,78.7,39.02,84,100,30.87,RU,1601231325,Northern Hemisphere
Hermanus,-34.42,19.23,46.0,86,22,3.31,ZA,1601231295,Northern Hemisphere
College,64.86,-147.8,43.0,75,75,5.82,US,1601231326,Southern Hemisphere
Nizwá,22.93,57.53,87.39,18,9,6.62,OM,1601231327,Northern Hemisphere
Río Gallegos,-51.62,-69.22,59.0,26,75,17.22,AR,1601231309,Southern Hemisphere
Matara,5.95,80.54,78.64,85,33,7.83,LK,1601231327,Northern Hemisphere
Jamestown,42.1,-79.24,77.0,64,20,13.87,US,1601231327,Southern Hemisphere
Ribeira Grande,38.52,-28.7,73.4,83,40,6.93,PT,1601231328,Southern Hemisphere
Yellowknife,62.46,-114.35,46.0,81,90,9.17,CA,1601231304,Southern Hemisphere
Port Moresby,-9.44,147.18,75.31,93,69,7.65,PG,1601231125,Northern Hemisphere
Hilo,19.73,-155.09,73.99,69,90,4.7,US,1601231302,Southern Hemisphere
Kapaa,22.08,-159.32,82.4,69,40,11.41,US,1601231328,Southern Hemisphere
Mataura,-46.19,168.86,34.0,95,78,8.01,NZ,1601231329,Northern Hemisphere
Ostrovnoy,68.05,39.51,40.55,80,47,6.11,RU,1601231303,Northern Hemisphere
Carnarvon,-24.87,113.63,66.2,72,15,14.99,AU,1601231329,Northern Hemisphere
Hong Kong,22.29,114.16,82.0,86,100,19.22,HK,1601231067,Northern Hemisphere
Berlevåg,70.86,29.09,33.8,80,3,4.7,NO,1601231329,Northern Hemisphere
Bluff,-46.6,168.33,34.0,95,96,8.01,NZ,1601231330,Northern Hemisphere
Solnechnyy,50.72,136.63,46.35,82,25,5.21,RU,1601231330,Northern Hemisphere
Matagami,49.75,-77.63,64.4,93,90,12.75,CA,1601231330,Southern Hemisphere
Ushuaia,-54.8,-68.3,44.6,56,75,17.22,AR,1601231330,Southern Hemisphere
Keti Bandar,24.14,67.45,82.38,76,6,13.33,PK,1601231351,Northern Hemisphere
Clyde River,70.47,-68.59,26.6,92,75,13.87,CA,1601231351,Southern Hemisphere
Dudinka,69.41,86.18,33.8,95,75,6.71,RU,1601231351,Northern Hemisphere
Punta Arenas,-53.15,-70.92,51.8,50,75,23.04,CL,1601231280,Southern Hemisphere
Busselton,-33.65,115.33,53.01,86,86,8.97,AU,1601231296,Northern Hemisphere
Albany,42.6,-73.97,77.0,67,63,1.01,US,1601231201,Southern Hemisphere
Bowling Green,36.99,-86.44,79.0,54,75,9.17,US,1601231124,Southern Hemisphere
Hobart,-42.88,147.33,48.0,81,90,7.78,AU,1601231280,Northern Hemisphere
Bandarbeyla,9.49,50.81,77.2,79,1,24.09,SO,1601231353,Northern Hemisphere
Esperance,-33.87,121.9,51.8,100,40,8.05,AU,1601231353,Northern Hemisphere
Tiksi,71.69,128.87,40.44,89,98,4.54,RU,1601231353,Northern Hemisphere
Vaini,-21.2,-175.2,69.8,88,40,3.36,TO,1601231354,Southern Hemisphere
Vícar,36.83,-2.64,75.2,38,30,1.12,ES,1601231354,Southern Hemisphere
Tura,25.52,90.22,73.71,97,100,3.58,IN,1601231354,Northern Hemisphere
Bethel,41.37,-73.41,78.01,64,90,5.82,US,1601231304,Southern Hemisphere
Aravete,59.14,25.75,57.99,87,0,8.05,EE,1601231354,Northern Hemisphere
Saint-François,46.42,3.91,48.99,100,90,9.17,FR,1601231325,Northern Hemisphere
Bengkulu,-3.8,102.27,77.02,85,91,7.07,ID,1601231355,Northern Hemisphere
Mar del Plata,-38.0,-57.56,54.0,100,90,16.11,AR,1601231355,Southern Hemisphere
Avarua,-21.21,-159.78,71.6,78,76,5.82,CK,1601231355,Southern Hemisphere
Rikitea,-23.12,-134.97,74.1,82,21,12.21,PF,1601231356,Southern Hemisphere
Bredasdorp,-34.53,20.04,50.0,76,30,3.85,ZA,1601231356,Northern Hemisphere
Sola,-13.88,167.55,78.8,88,75,16.75,VU,1601231356,Northern Hemisphere
Langham,52.37,-106.97,55.4,58,75,21.92,CA,1601231356,Southern Hemisphere
Pisco,-13.7,-76.22,68.0,64,1,12.75,PE,1601231357,Southern Hemisphere
Salinópolis,-0.61,-47.36,83.37,71,43,13.47,BR,1601231357,Southern Hemisphere
Ahipara,-35.17,173.17,55.96,82,29,15.86,NZ,1601231357,Northern Hemisphere
Tuktoyaktuk,69.45,-133.04,37.4,93,90,6.93,CA,1601231357,Southern Hemisphere
Barra do Garças,-15.89,-52.26,102.2,21,40,11.41,BR,1601231358,Southern Hemisphere
Atuona,-9.8,-139.03,78.17,74,6,16.26,PF,1601231314,Southern Hemisphere
Port Elizabeth,-33.92,25.57,53.6,71,4,8.05,ZA,1601231358,Northern Hemisphere
Chokurdakh,70.63,147.92,39.67,79,100,6.76,RU,1601231358,Northern Hemisphere
Palmer,42.16,-72.33,79.0,69,90,5.82,US,1601231288,Southern Hemisphere
Am Timan,11.03,20.28,74.35,88,48,0.38,TD,1601231359,Northern Hemisphere
Bonthe,7.53,-12.51,78.71,81,90,10.04,SL,1601231359,Southern Hemisphere
Chabahar,25.29,60.64,82.53,72,0,6.08,IR,1601231359,Northern Hemisphere
Kavieng,-2.57,150.8,78.04,88,81,8.99,PG,1601231360,Northern Hemisphere
Thinadhoo,0.53,72.93,83.62,63,34,2.08,MV,1601231360,Northern Hemisphere
Dejen,10.17,38.13,55.8,87,13,3.51,ET,1601231360,Northern Hemisphere
Port Alfred,-33.59,26.89,55.49,65,0,10.0,ZA,1601231361,Northern Hemisphere
Qaanaaq,77.48,-69.36,14.52,79,0,7.14,GL,1601231361,Southern Hemisphere
Upernavik,72.79,-56.15,28.45,95,92,9.4,GL,1601231305,Southern Hemisphere
