City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Hemisphere
Esperance,-33.87,121.9,53.6,100,40,8.05,AU,1601419994,Southern Hemisphere
Ushuaia,-54.8,-68.3,35.6,80,75,26.4,AR,1601420042,Southern Hemisphere
East London,-33.02,27.91,59.29,67,97,1.81,ZA,1601419984,Southern Hemisphere
Hithadhoo,-0.6,73.08,82.99,74,80,8.84,MV,1601420043,Southern Hemisphere
Khatanga,71.97,102.5,31.1,99,100,10.13,RU,1601420043,Northern Hemisphere
Albany,42.6,-73.97,63.0,77,74,3.47,US,1601419914,Northern Hemisphere
Busselton,-33.65,115.33,55.99,90,81,8.3,AU,1601420044,Southern Hemisphere
Flinders,-34.58,150.86,64.0,73,100,3.0,AU,1601420044,Southern Hemisphere
Kuytun,54.34,101.5,35.91,87,100,12.95,RU,1601420045,Northern Hemisphere
Makiwalo,12.51,124.71,80.56,82,100,5.84,PH,1601420045,Northern Hemisphere
Provideniya,64.38,-173.3,42.8,70,90,4.47,RU,1601420045,Northern Hemisphere
Dingle,11.0,122.67,77.86,85,100,1.39,PH,1601420046,Northern Hemisphere
Bengkulu,-3.8,102.27,74.95,86,92,7.09,ID,1601419750,Southern Hemisphere
Mossamedes,-15.2,12.15,63.25,81,62,7.0,AO,1601420046,Southern Hemisphere
Asău,46.43,26.4,53.01,85,100,8.99,RO,1601419982,Northern Hemisphere
Port Alfred,-33.59,26.89,56.64,70,64,5.21,ZA,1601420047,Southern Hemisphere
Chui,-33.7,-53.46,52.77,76,22,8.57,UY,1601419865,Southern Hemisphere
Pevek,69.7,170.31,38.17,77,100,19.55,RU,1601420047,Northern Hemisphere
Grand-Lahou,5.14,-5.02,76.19,92,88,7.52,CI,1601420048,Northern Hemisphere
Columbus,39.96,-83.0,61.0,67,75,8.05,US,1601419825,Northern Hemisphere
Hobart,-42.88,147.33,53.6,76,75,8.05,AU,1601419750,Southern Hemisphere
Lawrenceburg,38.04,-84.9,55.99,81,90,5.82,US,1601420048,Northern Hemisphere
Al Bardīyah,31.76,25.09,74.46,75,2,9.44,LY,1601420049,Northern Hemisphere
Singaraja,-8.11,115.09,79.41,69,82,4.18,ID,1601420049,Southern Hemisphere
Kapaa,22.08,-159.32,86.0,62,1,6.93,US,1601419830,Northern Hemisphere
