,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Hemisphere
0,Port Alfred,-33.59,-33.59,58.69,51,5,18.95,ZA,1601191079,Southern Hemisphere
1,Baruun-Urt,46.68,46.68,59.67,32,21,10.38,MN,1601191079,Northern Hemisphere
2,Codrington,-38.27,-38.27,50.74,67,0,8.41,AU,1601191079,Southern Hemisphere
3,Arraial do Cabo,-22.97,-22.97,72.72,85,64,10.4,BR,1601191079,Southern Hemisphere
4,Port Macquarie,-31.43,-31.43,61.0,45,2,1.99,AU,1601191080,Southern Hemisphere
5,Yellowknife,62.46,62.46,42.8,87,90,6.93,CA,1601191080,Northern Hemisphere
6,Paraguaçu Paulista,-22.41,-22.41,72.86,35,0,6.51,BR,1601191080,Southern Hemisphere
7,Atuona,-9.8,-9.8,78.1,75,0,14.54,PF,1601191080,Southern Hemisphere
8,Bluff,-46.6,-46.6,39.0,83,91,11.01,NZ,1601191081,Southern Hemisphere
9,São João da Barra,-21.64,-21.64,71.98,80,0,10.54,BR,1601191081,Southern Hemisphere
10,Dikson,73.51,73.51,37.54,78,100,19.73,RU,1601191081,Northern Hemisphere
11,Pandan,14.05,14.05,86.36,69,88,7.45,PH,1601191082,Northern Hemisphere
12,New Norfolk,-42.78,-42.78,53.01,61,83,1.99,AU,1601191082,Southern Hemisphere
13,Faanui,-16.48,-16.48,78.62,81,69,14.61,PF,1601191082,Southern Hemisphere
14,Pevek,69.7,69.7,36.07,84,0,13.76,RU,1601191082,Northern Hemisphere
15,Mar del Plata,-38.0,-38.0,54.0,100,90,3.36,AR,1601190836,Southern Hemisphere
16,Ilulissat,69.22,69.22,32.0,95,100,5.82,GL,1601191083,Northern Hemisphere
17,Tura,25.52,25.52,82.04,88,36,3.74,IN,1601191083,Northern Hemisphere
18,Los Llanos de Aridane,28.66,28.66,73.4,78,75,18.34,ES,1601191083,Northern Hemisphere
19,Norman Wells,65.28,65.28,39.2,80,75,3.36,CA,1601191084,Northern Hemisphere
20,Broome,42.25,42.25,64.99,100,90,4.7,US,1601191084,Northern Hemisphere
21,Severo-Kuril'sk,50.68,50.68,48.34,75,100,13.71,RU,1601191084,Northern Hemisphere
22,Morant Bay,17.88,17.88,80.6,83,20,8.05,JM,1601191084,Northern Hemisphere
23,Kapaa,22.08,22.08,80.6,69,20,13.87,US,1601191085,Northern Hemisphere
24,Huarmey,-10.07,-10.07,60.01,87,39,8.39,PE,1601191085,Southern Hemisphere
25,Saint Paul Harbor,57.79,57.79,48.2,66,90,10.29,US,1601191085,Northern Hemisphere
26,Zhigansk,66.77,66.77,47.77,68,20,2.21,RU,1601191085,Northern Hemisphere
27,Grindavik,63.84,63.84,44.6,100,75,3.36,IS,1601191086,Northern Hemisphere
28,Ostrovnoy,68.05,68.05,46.63,71,59,7.02,RU,1601191086,Northern Hemisphere
29,Vila Velha,-20.33,-20.33,71.6,83,0,5.82,BR,1601191086,Southern Hemisphere
30,Mitsamiouli,-11.38,-11.38,82.4,61,40,17.22,KM,1601191086,Southern Hemisphere
31,Jamestown,42.1,42.1,62.01,93,1,6.93,US,1601190950,Northern Hemisphere
32,Cabo San Lucas,22.89,22.89,81.0,91,0,4.0,MX,1601191087,Northern Hemisphere
33,Dwārka,22.24,22.24,84.29,64,96,11.77,IN,1601191087,Northern Hemisphere
34,Rikitea,-23.12,-23.12,74.17,85,0,12.39,PF,1601191087,Southern Hemisphere
35,Punta Arenas,-53.15,-53.15,35.6,87,75,3.36,CL,1601191087,Southern Hemisphere
36,Srednekolymsk,67.45,67.45,46.78,55,100,9.17,RU,1601191088,Northern Hemisphere
37,Chimbote,-9.09,-9.09,59.27,90,40,6.98,PE,1601191088,Southern Hemisphere
38,Ushuaia,-54.8,-54.8,35.6,74,40,10.29,AR,1601190829,Southern Hemisphere
39,Anaconda,46.13,46.13,42.8,60,90,8.05,US,1601191089,Northern Hemisphere
40,Albany,42.6,42.6,68.0,98,42,1.01,US,1601191089,Northern Hemisphere
41,Santa Cecília,-26.96,-26.96,61.27,67,59,2.95,BR,1601191089,Southern Hemisphere
42,Kampot,10.62,10.62,78.8,88,75,19.46,KH,1601191089,Northern Hemisphere
43,Chapais,49.78,49.78,57.2,100,90,6.93,CA,1601191090,Northern Hemisphere
44,Yulara,-25.24,-25.24,87.8,10,100,8.05,AU,1601190911,Southern Hemisphere
45,Busselton,-33.65,-33.65,64.0,66,100,5.01,AU,1601190920,Southern Hemisphere
46,Tiruttani,13.18,13.18,87.8,70,75,10.4,IN,1601191090,Northern Hemisphere
47,Nikolskoye,59.7,59.7,57.0,87,0,6.71,RU,1601191090,Northern Hemisphere
48,Khatanga,71.97,71.97,44.94,89,100,14.03,RU,1601191091,Northern Hemisphere
49,Avarua,-21.21,-21.21,73.4,78,91,8.05,CK,1601191091,Southern Hemisphere
50,Hualmay,-11.1,-11.1,59.18,86,15,8.28,PE,1601191091,Southern Hemisphere
51,Vestmannaeyjar,63.44,63.44,48.81,95,100,11.9,IS,1601191092,Northern Hemisphere
52,Alofi,-19.06,-19.06,73.4,83,99,13.87,NU,1601190958,Southern Hemisphere
53,Road Town,18.42,18.42,82.0,92,13,8.01,VG,1601191092,Northern Hemisphere
54,Chokurdakh,70.63,70.63,43.97,60,61,9.04,RU,1601191092,Northern Hemisphere
55,Plastun,44.76,44.76,59.04,67,46,8.01,RU,1601191093,Northern Hemisphere
56,Souillac,-20.52,-20.52,73.4,88,75,17.22,MU,1601191093,Southern Hemisphere
57,Noumea,-22.28,-22.28,69.8,100,75,2.24,NC,1601190958,Southern Hemisphere
58,Arrondissement de Millau,44.08,44.08,41.0,93,90,14.99,FR,1601191093,Northern Hemisphere
59,Vardø,70.37,70.37,42.15,66,0,9.35,NO,1601191094,Northern Hemisphere
60,Barrow,71.29,71.29,32.0,96,90,9.17,US,1601191094,Northern Hemisphere
61,Cap Malheureux,-19.98,-19.98,77.0,62,9,8.99,MU,1601191094,Southern Hemisphere
62,Kruisfontein,-34.0,-34.0,57.0,51,0,7.0,ZA,1601191094,Southern Hemisphere
63,Yumen,40.28,40.28,66.49,22,63,20.04,CN,1601191095,Northern Hemisphere
64,Hermanus,-34.42,-34.42,54.03,56,70,5.86,ZA,1601191095,Southern Hemisphere
65,Mount Isa,-20.73,-20.73,87.8,14,51,8.05,AU,1601191095,Southern Hemisphere
66,San Cristobal,7.77,7.77,64.63,78,100,1.68,VE,1601191095,Northern Hemisphere
67,Saldanha,-33.01,-33.01,51.8,81,22,4.7,ZA,1601191096,Southern Hemisphere
68,Mataura,-46.19,-46.19,39.0,83,100,11.01,NZ,1601191096,Southern Hemisphere
69,Ahipara,-35.17,-35.17,57.79,87,0,10.13,NZ,1601191096,Southern Hemisphere
70,Butaritari,3.07,3.07,83.07,72,51,10.0,KI,1601191096,Northern Hemisphere
71,Saskylakh,71.92,71.92,39.16,77,100,16.15,RU,1601191097,Northern Hemisphere
72,Nanortalik,60.14,60.14,36.79,83,0,9.06,GL,1601191097,Northern Hemisphere
73,Ponta do Sol,32.67,32.67,68.0,82,40,13.87,PT,1601191097,Northern Hemisphere
74,Magaria,13.0,13.0,79.72,61,0,8.7,NE,1601191098,Northern Hemisphere
75,Bredasdorp,-34.53,-34.53,55.4,58,1,9.17,ZA,1601191098,Southern Hemisphere
76,Naze,28.37,28.37,82.4,65,75,9.17,JP,1601191098,Northern Hemisphere
77,Diffa,13.32,13.32,84.87,55,100,12.12,NE,1601191098,Northern Hemisphere
78,Kurayoshi,35.43,35.43,71.6,73,75,17.22,JP,1601191099,Northern Hemisphere
79,Igrim,63.19,63.19,60.04,75,4,11.3,RU,1601191099,Northern Hemisphere
80,Longyearbyen,78.22,78.22,28.4,68,20,9.17,SJ,1601191099,Northern Hemisphere
81,Airai,-8.93,-8.93,76.69,45,28,6.51,TL,1601191099,Southern Hemisphere
82,Hobart,-42.88,-42.88,53.6,58,40,16.11,AU,1601191025,Southern Hemisphere
83,Coahuayana Viejo,18.73,18.73,76.75,84,11,3.04,MX,1601191100,Northern Hemisphere
84,Najrān,17.49,17.49,87.8,16,100,6.93,SA,1601191100,Northern Hemisphere
85,East London,-33.02,-33.02,60.8,41,0,18.34,ZA,1601191101,Southern Hemisphere
86,Christchurch,-43.53,-43.53,53.01,53,0,14.99,NZ,1601191078,Southern Hemisphere
87,Tambun,-6.26,-6.26,93.99,55,40,4.7,ID,1601191101,Southern Hemisphere
88,Geraldton,-28.77,-28.77,71.6,43,40,11.41,AU,1601191101,Southern Hemisphere
89,Aklavik,68.22,68.22,32.0,89,90,6.93,CA,1601191102,Northern Hemisphere
90,Kutum,14.2,14.2,80.33,44,100,7.11,SD,1601191102,Northern Hemisphere
91,Riyadh,24.69,24.69,93.2,23,5,5.35,SA,1601191102,Northern Hemisphere
92,Sambava,-14.27,-14.27,75.92,75,88,7.78,MG,1601191102,Southern Hemisphere
93,Reyes,-14.32,-14.32,77.97,64,0,4.25,BO,1601191103,Southern Hemisphere
94,Wahiawā,21.5,21.5,78.8,73,75,4.7,US,1601191103,Northern Hemisphere
95,Kropotkin,45.44,45.44,73.9,51,0,16.53,RU,1601191103,Northern Hemisphere
96,Narsaq,60.92,60.92,33.8,47,0,8.05,GL,1601191103,Northern Hemisphere
